"plot","spp","cover"
"1","CARO",0.0425531914893617
"1","COAN",0.0212765957446809
"1","PIPR",0.936170212765957
"2","ARLU",0.0143884892086331
"2","CARO",0.431654676258993
"2","CEFE",0.0719424460431655
"2","LOWR",0.0143884892086331
"2","MUMO",0.179856115107914
"2","MUWR",0.107913669064748
"2","SCSC",0.179856115107914
"3","ELEL",0.025
"3","KOMA",0.175
"3","PIPR",0.8
"4","CARO",0.575539568345324
"4","CHAL",0.0359712230215827
"4","ELEL",0.0287769784172662
"4","PAMU",0.0719424460431655
"4","PIPR",0.287769784172662
"5","ELEL",0.0526315789473684
"5","FEAR",0.105263157894737
"5","PIPR",0.842105263157895
"6","ELEL",0.0151975683890578
"6","FEAR",0.060790273556231
"6","HOWR",0.0121580547112462
"6","PIPR",0.911854103343465
"7","CARO",0.0178571428571429
"7","FEAR",0.0446428571428571
"7","MUMO",0.133928571428571
"7","PIPR",0.803571428571429
"8","FEAR",0.476190476190476
"8","MUMO",0.19047619047619
"8","PIPR",0.285714285714286
"8","SCSC",0.0476190476190476
"9","ARLU",0.0555555555555556
"9","CARO",0.166666666666667
"9","ERNE",0.0277777777777778
"9","LOWR",0.0277777777777778
"9","MUMO",0.722222222222222
"10","CARO",0.15625
"10","ELEL",0.703125
"10","LIDA",0.03125
"10","MUMO",0.078125
"10","QUGA",0.03125
"11","ELEL",0.125
"11","PIPR",0.875
"12","MUMO",1
"13","ELEL",0.0163934426229508
"13","PIPR",0.983606557377049
"14","ARLU",0.0175438596491228
"14","CHAL",0.0175438596491228
"14","MUMO",0.701754385964912
"14","PIPR",0.175438596491228
"14","VETH",0.087719298245614
"15","CARO",0.0267379679144385
"15","ELEL",0.053475935828877
"15","ERNA",0.0106951871657754
"15","MUMO",0.641711229946524
"15","PIPR",0.267379679144385
"16","CIWH",0.0529100529100529
"16","ELEL",0.0793650793650794
"16","LOWR",0.0211640211640212
"16","PIPR",0.740740740740741
"16","QUGA",0.105820105820106
"17","BOCU",0.25
"17","MUMO",0.125
"17","PIPR",0.3125
"17","SCSC",0.3125
"18","BOCU",0.211081794195251
"18","CHAL",0.0105540897097625
"18","HEMU",0.0131926121372032
"18","HEOB",0.0263852242744063
"18","MUMO",0.369393139841689
"18","SCSC",0.369393139841689
"19","MUMO",0.3
"19","PIPR",0.3
"19","SCSC",0.2
"19","TRRA",0.2
"20","CARO",0.137931034482759
"20","HOWR",0.0172413793103448
